"","Date","hhmm","xmin","ymin","xmax","ymax","label","confidence","x_size","y_size","Mo","OK","Species","Sex","Timestamp","Month","Hour","MergeTime","xmid","ymid","Height","Width","Area","Batch","original_aspect_ratio"
"1",2021-04-20,"1651",68.3986453631231,254.611509678809,258.085363718601,399.038112049876,0,0.849403262,820,616,"04",1,"Rufous","Male",2021-04-20 16:51:00,"Apr",16,2021-04-20 16:00:00,163.242004540862,326.824810864343,144.426602371067,189.686718355478,26373,"1",1.18791946308725
"2",2021-04-20,"1706",117.033830512019,262.42128670128,344.23868121036,346.784907457229,0,0.892510653,820,616,"04",1,"Rufous","Male",2021-04-20 17:06:00,"Apr",17,2021-04-20 17:00:00,230.63625586119,304.603097079255,84.3636207559481,227.204850698342,19776,"1",2.14583333333333
"3",2021-04-20,"1718",602.82717645533,340.025973248251,796.395080915243,486.719103227435,0,0.975589395,820,616,"04",1,"Rufous","Male",2021-04-20 17:18:00,"Apr",17,2021-04-20 17:00:00,699.611128685287,413.372538237843,146.693129979184,193.567904459912,27180,"1",1.19205298013245
"4",2021-04-20,"1925",112.038689840307,270.957065311089,347.005912747516,340.588256614272,0,0.945594788,820,616,"04",1,"Rufous","Male",2021-04-20 19:25:00,"Apr",19,2021-04-20 19:00:00,229.522301293911,305.77266096268,69.6311913031832,234.96722290721,17596,"1",2.55421686746988
"5",2021-04-20,"1942",91.8623108001214,333.924053275554,312.598517991073,464.751489997915,0,0.996867955,820,616,"04",1,"Rufous","Male",2021-04-20 19:42:00,"Apr",19,2021-04-20 19:00:00,202.230414395597,399.337771636735,130.827436722361,220.736207190951,27537,"1",1.46715328467153
"6",2021-04-20,"1944",83.994009305017,244.484735601013,273.680727660495,413.843141661374,1,0.917079747,820,616,"04",1,"Annas","Male",2021-04-20 19:44:00,"Apr",19,2021-04-20 19:00:00,178.837368482756,329.163938631194,169.358406060361,189.686718355478,30267,"1",1.03508771929825
"7",2021-04-20,"1950",529.469906930037,350.83448749033,672.582392032305,588.188721794221,4,0.992765188,820,616,"04",1,"Rufous","Female",2021-04-20 19:50:00,"Apr",19,2021-04-20 19:00:00,601.026149481171,469.511604642276,237.354234303891,143.112485102268,32571,"1",0.61038961038961
"8",2021-04-20,"1951",520.468383324712,354.30687906124,664.874597128458,589.394585757014,4,0.959282339,820,616,"04",1,"Rufous","Female",2021-04-20 19:51:00,"Apr",19,2021-04-20 19:00:00,592.671490226585,471.850732409127,235.087706695774,144.406213803746,32518,"1",0.620087336244541
"9",2021-04-20,"2004",98.1511801733117,337.78157635166,308.537557752439,453.876583621255,0,0.991987705,820,616,"04",1,"Rufous","Male",2021-04-20 20:04:00,"Apr",20,2021-04-20 20:00:00,203.344368962875,395.829079986458,116.095007269596,210.386377579127,23932,"1",1.55645161290323
"10",2021-04-20,"2005",151.22936669599,247.085925267119,271.054735171654,359.781141124538,0,0.988928378,820,616,"04",1,"Rufous","Male",2021-04-20 20:05:00,"Apr",20,2021-04-20 20:00:00,211.142050933822,303.433533195829,112.695215857419,119.825368475664,14883,"1",1.01652892561983
"11",2021-04-21,"0851",321.773570099588,358.767334118742,407.961992336823,580.255875165809,4,0.985108316,820,616,"04",1,"Rufous","Female",2021-04-21 08:51:00,"Apr",8,2021-04-21 08:00:00,364.867781218205,469.511604642276,221.488541047068,86.1884222372342,21049,"1",0.447004608294931
"12",2021-04-21,"0852",325.115433801423,378.613620057611,411.303856038657,597.835633496562,4,0.997103333,820,616,"04",1,"Rufous","Female",2021-04-21 08:52:00,"Apr",8,2021-04-21 08:00:00,368.20964492004,488.224626777086,219.22201343895,86.1884222372342,20855,"1",0.451162790697674
"13",2021-04-21,"0900",46.5497218101174,293.098217593756,262.111014195157,430.72523714047,1,0.975230575,820,616,"04",1,"Annas","Male",2021-04-21 09:00:00,"Apr",9,2021-04-21 09:00:00,154.330368002637,361.911727367113,137.627019546714,215.561292385039,28171,"1",1.37762237762238
"14",2021-04-21,"0919",99.1945152164324,277.131585442519,278.531403960086,367.161525218761,1,0.963110805,820,616,"04",1,"Annas","Male",2021-04-21 09:19:00,"Apr",9,2021-04-21 09:00:00,188.862959588259,322.14655533064,90.0299397762423,179.336888743654,17069,"1",1.67326732673267
"15",2021-04-21,"0952",414.045574401861,361.25166220306,663.243813025329,591.806313682599,4,0.998234332,820,616,"04",1,"Rufous","Female",2021-04-21 09:52:00,"Apr",9,2021-04-21 09:00:00,538.644693713595,476.52898794283,230.554651479538,249.198238623468,50175,"1",0.991111111111111
"16",2021-04-21,"1024",370.338135724327,269.785748108129,462.995201468951,521.872411864786,4,0.933181882,820,616,"04",1,"Rufous","Female",2021-04-21 10:24:00,"Apr",10,2021-04-21 10:00:00,416.666668596639,395.829079986458,252.086663756656,92.6570657446245,24888,"1",0.418032786885246
"17",2021-04-21,"1025",368.954519955749,311.527047117786,465.492771804807,540.948434793265,4,0.942926705,820,616,"04",1,"Rufous","Female",2021-04-21 10:25:00,"Apr",10,2021-04-21 10:00:00,417.223645880278,426.237740955525,229.42138767548,96.5382518490586,23520,"1",0.46875
"18",2021-04-21,"1029",347.214751012786,-234.259985568972,435.990630652976,20.0932057958019,0,0.811595917,820,616,"04",1,"Rufous","Male",2021-04-21 10:29:00,"Apr",10,2021-04-21 10:00:00,391.602690832881,-107.083389886585,254.353191364774,88.7758796401903,24354,"1",0.402439024390244
