Date,Time,Indoor Temperature F,Indoor Humidity %,Outdoor Temperature F,Outdoor Humidity %,Wind Speed(mph),wind direction(Degree),Light Intensity,UV index,Daily Rainfall accumulation,Total Accumulative Rainfall,Strike Count now, Daily Strike Count,Total Strike Count,Closet Strike distance,Interference,barometric Pressure(real),Calibrated barometric Pressure,Dew Point,Rain Rate,wind gust,Wind Speed average,Feels like,Heat Index,Wind Chill, 
20210216,0:06:30,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.71,30.1,49,0,0,0,76,--       ,--       , 
20210216,0:06:40,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.71,30.1,49,0,0,0,76,--       ,--       , 
20210216,0:06:50,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.71,30.1,49,0,0,0,76,--       ,--       , 
20210216,0:07:00,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.71,30.1,49,0,0,0,76,--       ,--       , 
20210216,0:07:10,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.71,30.1,49,0,0,0,76,--       ,--       , 
20210216,0:07:20,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.71,30.1,49,0,0,0,76,--       ,--       , 
20210216,0:07:30,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.71,30.1,49,0,0,0,76,--       ,--       , 
20210216,0:07:40,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.71,30.1,49,0,0,0,76,--       ,--       , 
20210216,0:07:50,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.71,30.1,49,0,0,0,76,--       ,--       , 
20210216,0:08:00,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.71,30.1,49,0,0,0,76,--       ,--       , 
20210216,0:08:10,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.71,30.1,49,0,0,0,76,--       ,--       , 
20210216,0:08:20,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.71,30.1,49,0,0,0,76,--       ,--       , 
20210216,0:08:30,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.71,30.1,49,0,0,0,76,--       ,--       , 
20210216,0:08:40,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.71,30.1,49,0,0,0,76,--       ,--       , 
20210216,0:08:50,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.71,30.1,49,0,0,0,76,--       ,--       , 
20210216,0:09:00,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.71,30.1,49,0,0,0,76,--       ,--       , 
20210216,0:09:10,71,50,76.7,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:09:20,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:09:30,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:09:40,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:09:50,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:10:00,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:10:10,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:10:20,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:10:30,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:10:40,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:10:50,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:11:00,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:11:10,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:11:20,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:11:30,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:11:40,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:11:50,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:12:00,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:12:10,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
