Subspecies,iNat_Obs,Source,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium rubellulum
,,NCBI,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium rubellulum
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium rubellum
,,NCBI,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium schulthessi
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium schulthessii
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium silverlocki
,,NCBI,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium sp. CCDB-32132-H02
,,NCBI,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium sp. CCDB-32132-H03
,,NCBI,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium sp. JRL-2016
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium tergoangulatum
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afranthidium,,Afranthidium villosomarginatum
,,ITIS,Megachilidae,Megachilinae,Osmiini,,Afroheriades,,Afroheriades dolichocephala
,,ITIS,Megachilidae,Megachilinae,Osmiini,,Afroheriades,,Afroheriades gemina
,,ITIS,Megachilidae,Megachilinae,Osmiini,,Afroheriades,,Afroheriades hyalina
,,NCBI,Megachilidae,Megachilinae,Osmiini,,Afroheriades,,Afroheriades hyalinus
,,ITIS,Megachilidae,Megachilinae,Osmiini,,Afroheriades,,Afroheriades larvata
,,ITIS,Megachilidae,Megachilinae,Osmiini,,Afroheriades,,Afroheriades prima
,,NCBI,Megachilidae,Megachilinae,Osmiini,,Afroheriades,,Afroheriades primus
,,ITIS,Apidae,Apinae,Melectini,,Afromelecta,,Afromelecta bicuspis
,,ITIS,Apidae,Apinae,Melectini,,Afromelecta,,Afromelecta fulvohirta
,,ITIS,Apidae,Apinae,Melectini,,Afromelecta,,Afromelecta lieftincki
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afrostelis,,Afrostelis aethiopica
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afrostelis,,Afrostelis kigonserana
