Subspecies,iNat_Obs,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Sphecodogastra,Lasioglossum comagenense
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Sphecodogastra,Lasioglossum cooleyi
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Sphecodogastra,Lasioglossum cordleyi
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Sphecodogastra,Lasioglossum nigrum
,,HALICTIDAE,Halictinae,Halictini,,Lasioglossum,Sphecodogastra,Lasioglossum quebecense
,,HALICTIDAE,Halictinae,Halictini,,Sphecodes,Sphecodes,Sphecodes arvensiformis
,,HALICTIDAE,Halictinae,Halictini,,Sphecodes,Sphecodes,Sphecodes clematidis
Sphecodes pecosensis pecosensis,,HALICTIDAE,Halictinae,Halictini,,Sphecodes,Sphecodes,Sphecodes pecosensis
,,HALICTIDAE,Halictinae,Halictini,,Sphecodes,Sphecodes,Sphecodes prosphorus
,,HALICTIDAE,Halictinae,Halictini,,Sphecodes,Sphecodes,Sphecodes solonis
,,HALICTIDAE,Nomiinae,,,Nomia,Acunomia,Nomia melanderi
,1,HALICTIDAE,Rophitinae,,,Dufourea,,Dufourea dilatipes
,4,HALICTIDAE,Rophitinae,,,Dufourea,,Dufourea holocyanea
,,HALICTIDAE,Rophitinae,,,Dufourea,,Dufourea marginata
,4,HALICTIDAE,Rophitinae,,,Dufourea,,Dufourea maura
,2,HALICTIDAE,Rophitinae,,,Dufourea,,Dufourea trochantera
Dioxys pomonae pomonae,,MEGACHILIDAE,Megachilinae,Dioxyini,,Dioxys,Stelis,Dioxys pomonae
,,MEGACHILIDAE,Megachilinae,Megachilini,,Coelioxys,Boreocoelioxys,Coelioxys banksi
,,MEGACHILIDAE,Megachilinae,Megachilini,,Coelioxys,Boreocoelioxys,Coelioxys funeraria
,,MEGACHILIDAE,Megachilinae,Megachilini,,Coelioxys,Boreocoelioxys,Coelioxys moesta
,,MEGACHILIDAE,Megachilinae,Megachilini,,Coelioxys,Boreocoelioxys,Coelioxys novomexicana
,,MEGACHILIDAE,Megachilinae,Megachilini,,Coelioxys,Boreocoelioxys,Coelioxys octodentata
,,MEGACHILIDAE,Megachilinae,Megachilini,,Coelioxys,Boreocoelioxys,Coelioxys porterae
,47,MEGACHILIDAE,Megachilinae,Megachilini,,Coelioxys,Boreocoelioxys,Coelioxys rufitarsis
,,MEGACHILIDAE,Megachilinae,Megachilini,,Coelioxys,Boreocoelioxys,Coelioxys sayi
,,MEGACHILIDAE,Megachilinae,Megachilini,,Coelioxys,Coelioxys,Coelioxys hirsutissima
,,MEGACHILIDAE,Megachilinae,Megachilini,,Coelioxys,Coelioxys,Coelioxys sodalis
,,MEGACHILIDAE,Megachilinae,Megachilini,,Coelioxys,Cyrtocoelioxys,Coelioxys deani
,,MEGACHILIDAE,Megachilinae,Megachilini,,Coelioxys,Synocoelioxys,Coelioxys alternata
,,MEGACHILIDAE,Megachilinae,Megachilini,,Coelioxys,Synocoelioxys,Coelioxys apacheorum
,,MEGACHILIDAE,Megachilinae,Megachilini,,Coelioxys,Synocoelioxys,Coelioxys erysimi
,,MEGACHILIDAE,Megachilinae,Megachilini,,Coelioxys,Xerocoelioxys,Coelioxys edita
,,MEGACHILIDAE,Megachilinae,Megachilini,,Coelioxys,Xerocoelioxys,Coelioxys grindeliae
,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Argyropile,Megachile parallela
,4,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Chelostomoides,Megachile angelarum
,4,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Eutricharaea,Megachile apicalis
,22,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Eutricharaea,Megachile rotundata
,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Litomegachile,Megachile brevis
,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Litomegachile,Megachile cleomis
,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Litomegachile,Megachile coquilletti
,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Litomegachile,Megachile gentilis
,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Litomegachile,Megachile lippiae
,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Litomegachile,Megachile mendica
,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Litomegachile,Megachile onobrychidis
,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Litomegachile,Megachile snowi
,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Litomegachile,Megachile texana
,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Megachile,Megachile centuncularis
,4,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Megachile,Megachile inermis
,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Megachile,Megachile lapponica
,2,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Megachile,Megachile montivaga
,7,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Megachile,Megachile relativa
,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Megachiloides,Megachile subnigra
,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Megachiloides,Megachile umatillensis
,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Megachiloides,Megachile wheeleri
,48,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Sayapis,Megachile fidelis
,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Sayapis,Megachile mellitarsis
Megachile pugnata pomonae,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Sayapis,Megachile pugnata
Megachile pugnata pugnata,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Sayapis,Megachile pugnata
,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Xanthosarus,Megachile circumcincta
,3,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Xanthosarus,Megachile frigida
,,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Xanthosarus,Megachile gemula
,113,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Xanthosarus,Megachile melanophaea
,447,MEGACHILIDAE,Megachilinae,Megachilini,,Megachile,Xanthosarus,Megachile perihirta
,,MEGACHILIDAE,Megachilinae,Osmiini,,Anthidiellum,Loyolanthidium,Anthidiellum robertsoni
,,MEGACHILIDAE,Megachilinae,Osmiini,,Anthidium,Anthidium,Anthidium atrifrons
,,MEGACHILIDAE,Megachilinae,Osmiini,,Anthidium,Anthidium,Anthidium clypeodentatum
,,MEGACHILIDAE,Megachilinae,Osmiini,,Anthidium,Anthidium,Anthidium emarginatum
,,MEGACHILIDAE,Megachilinae,Osmiini,,Anthidium,Anthidium,Anthidium formosum
,429,MEGACHILIDAE,Megachilinae,Osmiini,,Anthidium,Anthidium,Anthidium manicatum
,,MEGACHILIDAE,Megachilinae,Osmiini,,Anthidium,Anthidium,Anthidium mormonum
,,MEGACHILIDAE,Megachilinae,Osmiini,,Anthidium,Anthidium,Anthidium palliventre
,,MEGACHILIDAE,Megachilinae,Osmiini,,Anthidium,Anthidium,Anthidium psoraleae
,,MEGACHILIDAE,Megachilinae,Osmiini,,Anthidium,Anthidium,Anthidium tenuiflorae
,,MEGACHILIDAE,Megachilinae,Osmiini,,Anthidium,Anthidium,Anthidium utahense
Ashmeadiella bucconis denticulata,,MEGACHILIDAE,Megachilinae,Osmiini,,Ashmeadiella,Asheadiella,Ashmeadiella bucconis
Ashmeadiella cactorum cactorum,,MEGACHILIDAE,Megachilinae,Osmiini,,Ashmeadiella,Asheadiella,Ashmeadiella cactorum
Ashmeadiella californica californica,,MEGACHILIDAE,Megachilinae,Osmiini,,Ashmeadiella,Asheadiella,Ashmeadiella californica
,,MEGACHILIDAE,Megachilinae,Osmiini,,Ashmeadiella,Asheadiella,Ashmeadiella cubiceps
,,MEGACHILIDAE,Megachilinae,Osmiini,,Atoposmia,Atoposmia,Atoposmia abjecta
Atoposmia copelandica copelandica,,MEGACHILIDAE,Megachilinae,Osmiini,,Atoposmia,Hexosmia,Atoposmia copelandica
,,MEGACHILIDAE,Megachilinae,Osmiini,,Chelostoma,Foveosmia,Chelostoma minutum
,,MEGACHILIDAE,Megachilinae,Osmiini,,Chelostoma,Foveosmia,Chelostoma phaceliae
Dianthidium curvatum sayi,,MEGACHILIDAE,Megachilinae,Osmiini,,Dianthidium,Dianthidium,Dianthidium curvatum
Dianthidium plenum plenum,,MEGACHILIDAE,Megachilinae,Osmiini,,Dianthidium,Dianthidium,Dianthidium plenum
Dianthidium pudicum pudicum,,MEGACHILIDAE,Megachilinae,Osmiini,,Dianthidium,Dianthidium,Dianthidium pudicum
,,MEGACHILIDAE,Megachilinae,Osmiini,,Dianthidium,Dianthidium,Dianthidium singulare
,154,MEGACHILIDAE,Megachilinae,Osmiini,,Dianthidium,Dianthidium,Dianthidium subparvum
Dianthidium ulkei ulkei,,MEGACHILIDAE,Megachilinae,Osmiini,,Dianthidium,Dianthidium,Dianthidium ulkei
,,MEGACHILIDAE,Megachilinae,Osmiini,,Heriades,Neotrypetes,Heriades carinata
,,MEGACHILIDAE,Megachilinae,Osmiini,,Heriades,Neotrypetes,Heriades cressoni
Heriades variolosa variolosa,,MEGACHILIDAE,Megachilinae,Osmiini,,Heriades,Neotrypetes,Heriades variolosa
Hoplitis albifrons albifrons,,MEGACHILIDAE,Megachilinae,Osmiini,,Hoplitis,Alcidamea,Hoplitis albifrons
Hoplitis albifrons argentifrons,,MEGACHILIDAE,Megachilinae,Osmiini,,Hoplitis,Alcidamea,Hoplitis albifrons
Hoplitis fulgida fulgida,,MEGACHILIDAE,Megachilinae,Osmiini,,Hoplitis,Alcidamea,Hoplitis fulgida
Hoplitis grinnelli septentrionalis,,MEGACHILIDAE,Megachilinae,Osmiini,,Hoplitis,Alcidamea,Hoplitis grinnelli
,,MEGACHILIDAE,Megachilinae,Osmiini,,Hoplitis,Alcidamea,Hoplitis hypocrita
,,MEGACHILIDAE,Megachilinae,Osmiini,,Hoplitis,Alcidamea,Hoplitis louisae
Hoplitis producta subgracilis,,MEGACHILIDAE,Megachilinae,Osmiini,,Hoplitis,Alcidamea,Hoplitis producta
,,MEGACHILIDAE,Megachilinae,Osmiini,,Hoplitis,Alcidamea,Hoplitis sambuci
,,MEGACHILIDAE,Megachilinae,Osmiini,,Hoplitis,Alcidamea,Hoplitis spoliata
Hoplitis robusta robusta,,MEGACHILIDAE,Megachilinae,Osmiini,,Hoplitis,Formicapis,Hoplitis robusta
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Cephalosmia,Osmia californica
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Cephalosmia,Osmia marginipennis
Osmia montana montana,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Cephalosmia,Osmia montana
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Cephalosmia,Osmia subaustralis
Osmia caerulescens caerulescens,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Helicosmia,Osmia caerulescens
,4,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Helicosmia,Osmia coloradensis
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Helicosmia,Osmia texana
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia albolateralis
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia aquilonaria
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia atriventris
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia atrocyanea
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia austromaritima
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia bella
Osmia brevis brevis,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia brevis
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia bruneri
,2,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia bucephala
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia calla
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia cobaltina
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia cyanella
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia cyaneonitens
Osmia densa densa,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia densa
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia dolerosa
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia ednae
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia enixa
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia exigua
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia giliarum
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia inermis
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia integra
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia inurbana
Osmia juxta juxta,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia juxta
Osmia juxta subpurpurea,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia juxta
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia kincaidii
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia laeta
Osmia lignaria propinqua,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia lignaria
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia longula
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia malina
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia melanopleura
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia mertensiae
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia nanula
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia nemoris
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia nifoata
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia nigrifrons
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia nigriventris
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia obliqua
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia odontogaster
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia paradisica
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia pentstemonis
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia pikei
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia proxima
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia pulsatillae
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia pusilla
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia raritatis
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia regulina
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia sedula
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia simillima
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia tersula
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia trevoris
Osmia tristella tristella,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia tristella
,,MEGACHILIDAE,Megachilinae,Osmiini,,Osmia,Melanosmia,Osmia unca
,,MEGACHILIDAE,Megachilinae,Osmiini,,Stelis,Stelis,Stelis ashmeadiellae
,,MEGACHILIDAE,Megachilinae,Osmiini,,Stelis,Stelis,Stelis calliphorina
,,MEGACHILIDAE,Megachilinae,Osmiini,,Stelis,Stelis,Stelis callura
,,MEGACHILIDAE,Megachilinae,Osmiini,,Stelis,Stelis,Stelis carnifex
,,MEGACHILIDAE,Megachilinae,Osmiini,,Stelis,Stelis,Stelis coarctatus
,,MEGACHILIDAE,Megachilinae,Osmiini,,Stelis,Stelis,Stelis elegans
,,MEGACHILIDAE,Megachilinae,Osmiini,,Stelis,Stelis,Stelis lateralis
,,MEGACHILIDAE,Megachilinae,Osmiini,,Stelis,Stelis,Stelis maculata
,,MEGACHILIDAE,Megachilinae,Osmiini,,Stelis,Stelis,Stelis montana
,,MEGACHILIDAE,Megachilinae,Osmiini,,Stelis,Stelis,Stelis monticola
,,MEGACHILIDAE,Megachilinae,Osmiini,,Stelis,Stelis,Stelis occidentalis–
,,MEGACHILIDAE,Megachilinae,Osmiini,,Stelis,Stelis,Stelis ricardonis
,,MEGACHILIDAE,Megachilinae,Osmiini,,Stelis,Stelis,Stelis rubi
,1,MELITTIDAE,Melittinae,,,Macropis,Macropis,Macropis nuda
