Subspecies,iNat_Obs,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species
,,ANDRENIDAE,Andreninae,,,Andrena,Scaphandrena,Andrena montrosensis
,,ANDRENIDAE,Andreninae,,,Andrena,Scaphandrena,Andrena scurra
,,ANDRENIDAE,Andreninae,,,Andrena,Scaphandrena,Andrena sladeni
,,ANDRENIDAE,Andreninae,,,Andrena,Scaphandrena,Andrena walleyi
,,ANDRENIDAE,Andreninae,,,Andrena,Simandrena,Andrena angustitarsata
,,ANDRENIDAE,Andreninae,,,Andrena,Simandrena,Andrena pallidifovea
,,ANDRENIDAE,Andreninae,,,Andrena,Simandrena,Andrena subtrita
,,ANDRENIDAE,Andreninae,,,Andrena,Simandrena,Andrena wheeleri
,,ANDRENIDAE,Andreninae,,,Andrena,Thysandrena,Andrena candida
,,ANDRENIDAE,Andreninae,,,Andrena,Thysandrena,Andrena knuthiana
,,ANDRENIDAE,Andreninae,,,Andrena,Thysandrena,Andrena medionitens
,,ANDRENIDAE,Andreninae,,,Andrena,Thysandrena,Andrena trizonata
,,ANDRENIDAE,Andreninae,,,Andrena,Thysandrena,Andrena vierecki
,,ANDRENIDAE,Andreninae,,,Andrena,Thysandrena,Andrena w-scripta
,3,ANDRENIDAE,Andreninae,,,Andrena,Trachandrena,Andrena amphibola
,,ANDRENIDAE,Andreninae,,,Andrena,Trachandrena,Andrena cleodora
,,ANDRENIDAE,Andreninae,,,Andrena,Trachandrena,Andrena cupreotincta
,,ANDRENIDAE,Andreninae,,,Andrena,Trachandrena,Andrena cyanophila
,,ANDRENIDAE,Andreninae,,,Andrena,Trachandrena,Andrena forbesii
,,ANDRENIDAE,Andreninae,,,Andrena,Trachandrena,Andrena fuscicauda
,,ANDRENIDAE,Andreninae,,,Andrena,Trachandrena,Andrena hippotes
,,ANDRENIDAE,Andreninae,,,Andrena,Trachandrena,Andrena mariae
,,ANDRENIDAE,Andreninae,,,Andrena,Trachandrena,Andrena miranda
,,ANDRENIDAE,Andreninae,,,Andrena,Trachandrena,Andrena quintiliformis
,,ANDRENIDAE,Andreninae,,,Andrena,Trachandrena,Andrena salicifloris
,,ANDRENIDAE,Andreninae,,,Andrena,Trachandrena,Andrena sigmundi
,,ANDRENIDAE,Andreninae,,,Andrena,Trachandrena,Andrena striatifrons
,,ANDRENIDAE,Andreninae,,,Andrena,Tylandrena,Andrena erythrogaster
,,ANDRENIDAE,Andreninae,,,Andrena,Tylandrena,Andrena perplexa
,,ANDRENIDAE,Andreninae,,,Andrena,Tylandrena,Andrena subaustralis
,,ANDRENIDAE,Andreninae,,,Andrena,Tylandrena,Andrena subtilis
,,ANDRENIDAE,Panurginae,Calliopsini,,Calliopsis,Nomadopsis,Calliopsis scitula
,,ANDRENIDAE,Panurginae,Panurgini,,Panurginus,,Panurginus atriceps
,,ANDRENIDAE,Panurginae,Panurgini,,Panurginus,,Panurginus cressoniellus
,,ANDRENIDAE,Panurginae,Panurgini,,Panurginus,,Panurginus ineptus
,,ANDRENIDAE,Panurginae,Perditini,,Perdita,Perdita,Perdita fallax
,1,ANDRENIDAE,Panurginae,Perditini,,Perdita,Pygoperdita,Perdita nevadensis
,,ANDRENIDAE,Panurginae,Protandrini,,Pseudopanurgus,,Pseudopanurgus didirupa
,22,APIDAE,Apinae,Anthophorini,,Anthophora,Clisodon,Anthophora terminalis
,36,APIDAE,Apinae,Anthophorini,,Anthophora,Lophanthophora,Anthophora pacifica
,,APIDAE,Apinae,Anthophorini,,Anthophora,Lophanthophora,Anthophora porterae
,,APIDAE,Apinae,Anthophorini,,Anthophora,Lophanthophora,Anthophora ursina
,39,APIDAE,Apinae,Anthophorini,,Anthophora,Melea,Anthophora bomboides
,3,APIDAE,Apinae,Anthophorini,,Anthophora,Melea,Anthophora occidentalis
,,APIDAE,Apinae,Anthophorini,,Anthophora,Micranthophora,Anthophora peritomae
,4,APIDAE,Apinae,Anthophorini,,Anthophora,Mystacanthophora,Anthophora urbana
,,APIDAE,Apinae,Anthophorini,,Anthophora,Pyganthophora,Anthophora crotchii
,1,APIDAE,Apinae,Anthophorini,,Anthophora,Pyganthophora,Anthophora edwardsii
,48,APIDAE,Apinae,Anthophorini,,Habropoda,,Habropoda cineraria
,5,APIDAE,Apinae,Anthophorini,,Habropoda,,Habropoda miserabilis
,,APIDAE,Apinae,Anthophorini,,Habropoda,,Habropoda murihirta
,4690,APIDAE,Apinae,Apini,,Apis,Apis,Apis mellifera
,12,APIDAE,Apinae,Bombini,,Bombus,Alpinobombus,Bombus kirbiellus
,,APIDAE,Apinae,Bombini,,Bombus,Alpinobombus,Bombus neoboreus
,,APIDAE,Apinae,Bombini,,Bombus,Alpinobombus,Bombus polaris
,408,APIDAE,Apinae,Bombini,,Bombus,Bombias,Bombus nevadensis
Bombus accidentalus mckayi,,APIDAE,Apinae,Bombini,,Bombus,Bombus,Bombus accidentalus
,70,APIDAE,Apinae,Bombini,,Bombus,Bombus,Bombus cryptarum
Bombus occidentalis occidentalis,,APIDAE,Apinae,Bombini,,Bombus,Bombus,Bombus occidentalis
,141,APIDAE,Apinae,Bombini,,Bombus,Bombus,Bombus terricola
,73,APIDAE,Apinae,Bombini,,Bombus,Cullumanobombus,Bombus griseocollis
,,APIDAE,Apinae,Bombini,,Bombus,Cullumanobombus,Bombus morrisoni
,391,APIDAE,Apinae,Bombini,,Bombus,Cullumanobombus,Bombus rufocinctus
,,APIDAE,Apinae,Bombini,,Bombus,Psithyrus,Bombus bohemicus
,145,APIDAE,Apinae,Bombini,,Bombus,Psithyrus,Bombus flavidus
,225,APIDAE,Apinae,Bombini,,Bombus,Psithyrus,Bombus insularis
,1,APIDAE,Apinae,Bombini,,Bombus,Psithyrus,Bombus suckleyi
,,APIDAE,Apinae,Bombini,,Bombus,Pyrobombus,Bombus bifarius
,,APIDAE,Apinae,Bombini,,Bombus,Pyrobombus,Bombus caliginosus
,201,APIDAE,Apinae,Bombini,,Bombus,Pyrobombus,Bombus centralis
