"Subspecies","iNat_Obs","Source","Family","Subfamily","Tribe","Subtribe","Genus","Subgenus","Species"
,70,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Bombus","Bombus cryptarum"
,40,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus fervidus"
,40,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Thoracobombus","Bombus fervidus"
,145,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus flavidus"
,145,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Psithyrus","Bombus flavidus"
,1860,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus flavifrons"
,1860,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Pyrobombus","Bombus flavifrons"
,24,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus frigidus"
,24,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Pyrobombus","Bombus frigidus"
,73,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus griseocollis"
,73,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Cullumanobombus","Bombus griseocollis"
,197,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus huntii"
,197,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Pyrobombus","Bombus huntii"
,2110,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus impatiens"
,2110,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Pyrobombus","Bombus impatiens"
,225,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus insularis"
,225,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Psithyrus","Bombus insularis"
,12,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus kirbiellus"
,12,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Alpinobombus","Bombus kirbiellus"
,1,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus kluanensis"
,27,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus mckayi"
,2481,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus melanopygus"
,2481,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Pyrobombus","Bombus melanopygus"
,1854,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus mixtus"
,1854,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Pyrobombus","Bombus mixtus"
,408,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus nevadensis"
,408,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Bombias","Bombus nevadensis"
,372,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus occidentalis"
,35,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus perplexus"
,35,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Pyrobombus","Bombus perplexus"
,391,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus rufocinctus"
,391,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Cullumanobombus","Bombus rufocinctus"
